133.8897 	DATA 	Keypress: down
133.9192 	EXP 	New trial (rep=62, index=0): None
133.9280 	EXP 	fixation: autoDraw = False
133.9280 	EXP 	grating: autoDraw = False
133.9280 	EXP 	grating: ori = 0.0
133.9280 	EXP 	fixation: autoDraw = True
134.9159 	EXP 	grating: autoDraw = True
134.9326 	EXP 	fixation: autoDraw = False
135.2160 	EXP 	grating: autoDraw = False
135.8197 	EXP 	New trial (rep=63, index=0): None
135.8273 	DATA 	Keypress: down
135.8295 	EXP 	fixation: autoDraw = False
135.8295 	EXP 	grating: autoDraw = False
135.8295 	EXP 	grating: ori = 0.0
135.8295 	EXP 	fixation: autoDraw = True
136.8160 	EXP 	grating: autoDraw = True
136.8327 	EXP 	fixation: autoDraw = False
